id,age,sex,bmi,children,smoker,region,costs,phone,recordnum,opted_out
0,19,female,27.9,0,yes,EMEA,16884.92,447686636,8681199,0
1,18,male,33.8,1,no,EMEA,1725.55,437519962,4379756,0
2,28,male,33.0,3,no,EMEA,4449.46,381988151,9786757,0
3,33,male,22.7,0,no,NA,21984.47,556619672,8164839,0
4,32,male,28.9,0,no,NA,3866.86,497874796,7341375,0
5,31,female,25.7,0,no,EMEA,3756.62,694661676,2464579,0
6,46,female,33.4,1,no,EMEA,8240.59,287986942,7197378,0
7,37,female,27.7,3,no,NA,7281.51,492191699,6753893,0
8,37,male,29.8,2,no,NA,6406.41,358875513,7719973,0
9,60,female,25.8,0,no,NA,28923.14,598198178,5165384,0
10,25,male,26.2,0,no,NA,2721.32,962954178,3732959,0
11,62,female,26.3,0,yes,EMEA,27808.73,944137623,4213726,0
12,23,male,34.4,0,no,EMEA,1826.84,841367472,4641241,1
13,56,female,39.8,0,no,EMEA,11090.72,464249894,1653812,0
14,27,male,42.1,0,yes,EMEA,39611.76,122155849,4213714,0
15,19,male,24.6,1,no,EMEA,1837.24,358126221,8495758,0
16,52,female,30.8,1,no,NA,10797.34,435128915,9418329,0
17,23,male,23.8,0,no,NA,2395.17,176355214,1771695,0
18,56,male,40.3,0,no,EMEA,10602.39,197217763,4611189,0
19,30,male,35.3,0,yes,EMEA,36837.47,295373422,3448477,0
20,60,female,36.0,0,no,NA,13228.85,121361859,4647816,0
21,30,female,32.4,1,no,EMEA,4149.74,496244787,2671984,0
22,18,male,34.1,0,no,EMEA,1137.01,681267441,1855636,0
23,34,female,31.9,1,yes,NA,37701.88,937784791,5948429,0
24,37,male,28.0,2,no,NA,6203.90,389697222,5621865,0
25,59,female,27.7,3,no,EMEA,14001.13,456235417,5866745,0
26,63,female,23.1,0,no,NA,14451.84,852284475,4915241,0
27,55,female,32.8,2,no,NA,12268.63,328482864,1925991,0
28,23,male,17.4,1,no,NA,2775.19,952191151,5597312,0
29,31,male,36.3,2,yes,EMEA,38711.00,737797454,1154239,0
30,22,male,35.6,0,yes,EMEA,35585.58,684248759,7797862,0
31,18,female,26.3,0,no,NA,2198.19,573277417,2452522,0
32,19,female,28.6,5,no,EMEA,4687.80,285974159,3261165,0
33,63,male,28.3,0,no,NA,13770.10,758716431,7744372,0
34,28,male,36.4,1,yes,EMEA,51194.56,653188245,7674311,0
35,19,male,20.4,0,no,NA,1625.43,516228699,2697989,0
36,62,female,33.0,3,no,NA,15612.19,281428571,7985836,0
37,26,male,20.8,0,no,EMEA,2302.30,654611711,2611791,0
38,35,male,36.7,1,yes,NA,39774.28,478188597,6571364,0
39,60,male,39.9,0,yes,EMEA,48173.36,921387922,5675719,0
40,24,female,26.6,0,no,NA,3046.06,414348527,7276521,0
41,31,female,36.6,2,no,EMEA,4949.76,335719442,1251398,0
42,41,male,21.8,1,no,EMEA,6272.48,658797811,4585143,0
43,37,female,30.8,2,no,EMEA,6313.76,591222377,8655286,1
44,38,male,37.1,1,no,NA,6079.67,715896729,8864443,0
45,55,male,37.3,0,no,EMEA,20630.28,951496127,2867354,0
46,18,female,38.7,2,no,NA,3393.36,972878361,8579321,0
47,28,female,34.8,0,no,NA,3556.92,224542269,4427912,1
48,60,female,24.5,0,no,EMEA,12629.90,634616935,3922122,0
49,36,male,35.2,1,yes,EMEA,38709.18,658883784,6732665,0
50,18,female,35.6,0,no,NA,2211.13,221927263,2157333,0
51,21,female,33.6,2,no,NA,3579.83,513284889,4934648,0
52,48,male,28.0,1,yes,EMEA,23568.27,634243966,5975181,0
53,36,male,34.4,0,yes,EMEA,37742.58,823281828,7313515,0
54,40,female,28.7,3,no,NA,8059.68,172146192,8566396,0
55,58,male,37.0,2,yes,NA,47496.49,289682927,5293671,0
56,58,female,31.8,2,no,NA,13607.37,979694181,5962514,1
57,18,male,31.7,2,yes,EMEA,34303.17,599366364,9752866,0
58,53,female,22.9,1,yes,EMEA,23244.79,337926669,8374634,0
59,34,female,37.3,2,no,NA,5989.52,674412581,9698779,0
60,43,male,27.4,3,no,NA,8606.22,952579658,8479718,0
61,25,male,33.7,4,no,EMEA,4504.66,429274868,2174563,0
62,64,male,24.7,1,no,NA,30166.62,985793175,5589898,0
63,28,female,25.9,1,no,NA,4133.64,245343893,5489635,1
64,20,female,22.4,0,yes,NA,14711.74,331622264,3547395,0
65,19,female,28.9,0,no,EMEA,1743.21,415498832,6519173,0
66,61,female,39.1,2,no,EMEA,14235.07,427677172,7972923,0
67,40,male,26.3,1,no,NA,6389.38,448354291,7737279,0
